ID,Тип,Артикул,Имя,Опубликован,рекомендуемый?,"Видимость в каталоге","Краткое описание",Описание,"Дата начала действия скидки","Дата окончания действия скидки","Статус налога","Налоговый класс","В наличии?",Запасы,"Величина малых запасов","Возможен ли предзаказ?","Продано индивидуально?","Вес (kg)","Длина (cm)","Ширина (cm)","Высота (cm)","Разрешить отзывы от клиентов?","Примечание к покупке","Акционная цена","Базовая цена",Категории,Метки,"Класс доставки",Изображения,"Лимит загрузок","Дней срока загрузки",Родительский,"Сгруппированные товары",Апсейл,Кросселы,"Внешний URL","Текст кнопки",Позиция,"Имя атрибута 1","Значения атрибутов 1","Видимость атрибута 1","Глобальный атрибут 1","Имя атрибута 2","Значения атрибутов 2","Видимость атрибута 2","Глобальный атрибут 2","ID загрузки 1","Имя загрузки 1","URL загрузки 1","ID загрузки 2","Имя загрузки 2","URL загрузки 2"
31,simple,,"Rare Earth Deep Pore Minimizing Cleansing",1,0,visible,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras luctus congue nisi.","Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum id ligula porta felis euismod semper. Maecenas faucibus mollis interdum.\n\nDuis mollis, est non commodo luctus, nisi erat porttitor ligula, eget lacinia odio sem nec elit. Curabitur blandit tempus porttitor. Nullam quis risus eget urna mollis ornare vel eu leo. Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",,,taxable,,1,,,0,0,,,,,1,,,14,Cosmetics,,,http://wptest.loc/wp-content/uploads/2021/07/Maven.jpg,,,,,,,,,0,,,,,,,,,,,,,,
40,simple,,"Facial Treatment Essence (Pitera Essence)",1,0,visible,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras luctus congue nisi.","Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum id ligula porta felis euismod semper. Maecenas faucibus mollis interdum.\n\nDuis mollis, est non commodo luctus, nisi erat porttitor ligula, eget lacinia odio sem nec elit. Curabitur blandit tempus porttitor. Nullam quis risus eget urna mollis ornare vel eu leo. Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",,,taxable,,1,,,0,0,,,,,1,,18,21,Cosmetics,,,http://wptest.loc/wp-content/uploads/2021/07/Img-4.jpg,,,,,,,,,0,,,,,,,,,,,,,,
42,simple,,"Mini Radiant Creamy Concealer and Blush",1,0,visible,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras luctus congue nisi.","Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum id ligula porta felis euismod semper. Maecenas faucibus mollis interdum.\n\nDuis mollis, est non commodo luctus, nisi erat porttitor ligula, eget lacinia odio sem nec elit. Curabitur blandit tempus porttitor. Nullam quis risus eget urna mollis ornare vel eu leo. Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",,,taxable,,1,,,0,0,,,,,1,,,14,Cosmetics,,,http://wptest.loc/wp-content/uploads/2021/07/Allure.jpg,,,,,,,,,0,,,,,,,,,,,,,,
93,simple,,"Watermelon Glow Hyaluronic Clay Pore",1,0,visible,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras luctus congue nisi.","Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum id ligula porta felis euismod semper. Maecenas faucibus mollis interdum.\n\nDuis mollis, est non commodo luctus, nisi erat porttitor ligula, eget lacinia odio sem nec elit. Curabitur blandit tempus porttitor. Nullam quis risus eget urna mollis ornare vel eu leo. Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",,,taxable,,1,,,0,0,,,,,1,,,14,Cosmetics,,,http://wptest.loc/wp-content/uploads/2021/07/Klassichic.jpg,,,,,,,,,0,,,,,,,,,,,,,,
94,simple,,"Ultra Facial Moisturizing Cream",1,0,visible,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras luctus congue nisi.","Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum id ligula porta felis euismod semper. Maecenas faucibus mollis interdum.\n\nDuis mollis, est non commodo luctus, nisi erat porttitor ligula, eget lacinia odio sem nec elit. Curabitur blandit tempus porttitor. Nullam quis risus eget urna mollis ornare vel eu leo. Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",,,taxable,,1,,,0,0,,,,,1,,,14,Cosmetics,,,http://wptest.loc/wp-content/uploads/2021/07/Beaucoup.jpg,,,,,,,,,0,,,,,,,,,,,,,,
95,simple,,"Deep Sweep 2% BHA Pore Cleaning Toner",1,0,visible,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras luctus congue nisi.","Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum id ligula porta felis euismod semper. Maecenas faucibus mollis interdum.\n\nDuis mollis, est non commodo luctus, nisi erat porttitor ligula, eget lacinia odio sem nec elit. Curabitur blandit tempus porttitor. Nullam quis risus eget urna mollis ornare vel eu leo. Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",,,taxable,,1,,,0,0,,,,,1,,,21,Cosmetics,,,"http://wptest.loc/wp-content/uploads/2021/07/Glamifiedviola.jpg, http://wptest.loc/wp-content/uploads/2021/07/gr.jpg, http://wptest.loc/wp-content/uploads/2021/07/gray.jpg, http://wptest.loc/wp-content/uploads/2021/07/Glamifiedpeach.jpg",,,,,,,,,0,,,,,,,,,,,,,,
96,simple,,"Vinopure Pore Purifying Gel Cleanser",1,0,visible,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras luctus congue nisi.","Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum id ligula porta felis euismod semper. Maecenas faucibus mollis interdum.\n\nDuis mollis, est non commodo luctus, nisi erat porttitor ligula, eget lacinia odio sem nec elit. Curabitur blandit tempus porttitor. Nullam quis risus eget urna mollis ornare vel eu leo. Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",,,taxable,,1,,,0,0,,,,,1,,,14,Cosmetics,,,http://wptest.loc/wp-content/uploads/2021/07/Pearlville-1.jpg,,,,,,,,,0,,,,,,,,,,,,,,
97,simple,,"Eternal Sunset Collection Lip and Cheek",1,0,visible,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras luctus congue nisi.","Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum id ligula porta felis euismod semper. Maecenas faucibus mollis interdum.\n\nDuis mollis, est non commodo luctus, nisi erat porttitor ligula, eget lacinia odio sem nec elit. Curabitur blandit tempus porttitor. Nullam quis risus eget urna mollis ornare vel eu leo. Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",,,taxable,,1,,,0,0,,,,,1,,12,16,Cosmetics,,,"http://wptest.loc/wp-content/uploads/2021/07/Glamifiedpeach.jpg, http://wptest.loc/wp-content/uploads/2021/07/gr.jpg, http://wptest.loc/wp-content/uploads/2021/07/gray.jpg, http://wptest.loc/wp-content/uploads/2021/07/Glamifiedviola.jpg",,,,,,,,,0,,,,,,,,,,,,,,
1757,variable,woo-vneck-tee,"V-Neck T-Shirt",1,1,visible,"This is a variable product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,,"Clothing > Tshirts",,,"http://wptest.loc/wp-content/uploads/2022/07/vneck-tee-2.jpg, http://wptest.loc/wp-content/uploads/2022/07/vnech-tee-green-1.jpg, http://wptest.loc/wp-content/uploads/2022/07/vnech-tee-blue-1.jpg",,,,,,,,,0,Color,"Blue, Green, Red",1,1,Size,"Large, Medium, Small",1,1,,,,,,
1758,variable,woo-hoodie,Hoodie,1,0,visible,"This is a variable product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,,"Clothing > Hoodies",,,"http://wptest.loc/wp-content/uploads/2022/07/hoodie-2.jpg, http://wptest.loc/wp-content/uploads/2022/07/hoodie-blue-1.jpg, http://wptest.loc/wp-content/uploads/2022/07/hoodie-green-1.jpg, http://wptest.loc/wp-content/uploads/2022/07/hoodie-with-logo-2.jpg",,,,,,,,,0,Color,"Blue, Green, Red",1,1,Logo,"Yes, No",1,0,,,,,,
